folder,param1,param2,csv_name,c,d,Best_Mu,P_at_BestMu,Delta_at_BestMu
-7_-36,-7,-36,CHEES_-27_4200.csv,-27,4200,1.40822394711171,3.67933522097197,3.6230062630875
-12_-38,-12,-38,CHEES_-28_4200.csv,-28,4200,1.40828686757147,3.42186084289529,3.36552936819243
-22_-44,-22,-44,CHEES_-29_4200.csv,-29,4200,1.40844089889551,3.18032333029,3.12398569433418
-16_-40,-16,-40,CHEES_-28_4200.csv,-28,4200,1.40858621885889,3.3717719098264,3.31542846107204
-30_-50,-30,-50,CHEES_-32_4200.csv,-32,4200,1.40901453333244,2.93890915573549,2.88254857440219
-6_-36,-6,-36,CHEES_-27_4200.csv,-27,4200,1.4103901632933,3.67664933928362,3.62023373275189
-24_-46,-24,-46,CHEES_-30_4200.csv,-30,4200,1.41073475819914,3.04774801367783,2.99131862334987
-5_-36,-5,-36,CHEES_-27_4200.csv,-27,4200,1.41122516285289,3.67478756428157,3.61833855776745
-8_-37,-8,-37,CHEES_-28_4200.csv,-28,4200,1.41129515085689,3.44818249491336,3.39173068887909
-18_-42,-18,-42,CHEES_-29_4200.csv,-29,4200,1.41261187437983,3.178358534404,3.12185405942881
-10_-38,-10,-38,CHEES_-28_4200.csv,-28,4200,1.4126642489883,3.41258971498681,3.35608314502728
-7_-37,-7,-37,CHEES_-28_4200.csv,-28,4200,1.41296101283242,3.44425875544413,3.38774031493084
-6_-37,-6,-37,CHEES_-28_4200.csv,-28,4200,1.41434502369879,3.44246874597439,3.38589494502644
-26_-48,-26,-48,CHEES_-31_4200.csv,-31,4200,1.41460658820738,2.94584676532548,2.88926250179719
-14_-40,-14,-40,CHEES_-28_4200.csv,-28,4200,1.41469528801206,3.35792083358346,3.30133302206298
-5_-37,-5,-37,CHEES_-28_4200.csv,-28,4200,1.41590352235124,3.44023502223245,3.3835988813384
-8_-38,-8,-38,CHEES_-28_4200.csv,-28,4200,1.41632182125802,3.4056798259212,3.34902695307088
-20_-44,-20,-44,CHEES_-29_4200.csv,-29,4200,1.41718444673108,3.15258622306683,3.09589884519759
-28_-50,-28,-50,CHEES_-31_4200.csv,-31,4200,1.41756682872003,2.98119225260601,2.92448957945721
-7_-38,-7,-38,CHEES_-28_4200.csv,-28,4200,1.41799043882086,3.40263769182212,3.34591807426929
-6_-38,-6,-38,CHEES_-28_4200.csv,-28,4200,1.41937688381572,3.40082922630275,3.34405415095013
-16_-42,-16,-42,CHEES_-29_4200.csv,-29,4200,1.41945616142216,3.16431130985668,3.1075330633998
-12_-40,-12,-40,CHEES_-28_4200.csv,-28,4200,1.4195537641608,3.34803839214561,3.29125624157918
-22_-46,-22,-46,CHEES_-30_4200.csv,-30,4200,1.42005490060247,3.01680778797336,2.96000559194926
-16_-46,-16,-46,CHEES_-32_4200.csv,-32,4200,1.42074621955485,2.8451247526964,2.78829490391421
-5_-38,-5,-38,CHEES_-28_4200.csv,-28,4200,1.42076877963484,3.39784339723622,3.34101264605082
-12_-48,-12,-48,CHEES_-31_4200.csv,-31,4200,1.42154565912229,3.1322620245407,3.07540019817581
-30_-52,-30,-52,CHEES_-32_4200.csv,-32,4200,1.42212713798428,2.92705872009337,2.87017363457399
-10_-48,-10,-48,CHEES_-31_4200.csv,-31,4200,1.42308967286529,3.09115447169912,3.03423088478451
-10_-40,-10,-40,CHEES_-28_4200.csv,-28,4200,1.4239466066839,3.33849802477318,3.28154016050582
-24_-48,-24,-48,CHEES_-30_4200.csv,-30,4200,1.42422829611566,3.02027894970639,2.96330981786176
-14_-42,-14,-42,CHEES_-29_4200.csv,-29,4200,1.42452124811354,3.15154007935619,3.09455922943165
-18_-44,-18,-44,CHEES_-29_4200.csv,-29,4200,1.42457469698043,3.13230359280488,3.07532060492566
-26_-50,-26,-50,CHEES_-31_4200.csv,-31,4200,1.42681716729655,2.92863782592782,2.87156513923596
-8_-40,-8,-40,CHEES_-29_4200.csv,-29,4200,1.42756179702479,3.1815908905687,3.12448841868771
-20_-46,-20,-46,CHEES_-30_4200.csv,-30,4200,1.42803410774694,2.99397931634898,2.93685795203911
