folder,param1,param2,csv_name,c,d,Best_P,Delta_at_BestP,Mu_at_BestP
-20_-52,-20,-52,CHEES_-35_4800.csv,-35,4800,2.450013636,2.38004129,1.749308637
-22_-52,-22,-52,CHEES_-35_4800.csv,-35,4800,2.459809992,2.390189689,1.740507572
-24_-52,-24,-52,CHEES_-35_4800.csv,-35,4800,2.472088495,2.402869746,1.730468729
-26_-52,-26,-52,CHEES_-35_4800.csv,-35,4800,2.487391276,2.418673785,1.717937286
-28_-52,-28,-52,CHEES_-35_4800.csv,-35,4800,2.508146402,2.440015265,1.703278421
-30_-52,-30,-52,CHEES_-35_4800.csv,-35,4800,2.53766851,2.470247064,1.685536145
-5_-54,-5,-54,CHEES_-35_4800.csv,-35,4800,2.420893695,2.34976792,1.778144358
-6_-54,-6,-54,CHEES_-35_4800.csv,-35,4800,2.422442283,2.35139779,1.77611232
-7_-54,-7,-54,CHEES_-35_4800.csv,-35,4800,2.424068158,2.353100694,1.774186584
-8_-54,-8,-54,CHEES_-35_4800.csv,-35,4800,2.426010094,2.35512061,1.772237087
-10_-54,-10,-54,CHEES_-35_4800.csv,-35,4800,2.430072206,2.359341768,1.768260958
-12_-54,-12,-54,CHEES_-35_4800.csv,-35,4800,2.434176844,2.363672649,1.762604872
-14_-54,-14,-54,CHEES_-35_4800.csv,-35,4800,2.439232406,2.368948017,1.757109715
-16_-54,-16,-54,CHEES_-35_4800.csv,-35,4800,2.445243162,2.37519771,1.751136288
-18_-54,-18,-54,CHEES_-35_4800.csv,-35,4800,2.452151611,2.382390517,1.744027361
-20_-54,-20,-54,CHEES_-35_4800.csv,-35,4800,2.460491875,2.391035969,1.736397645
-22_-54,-22,-54,CHEES_-35_4800.csv,-35,4800,2.470585842,2.401487179,1.727466586
-24_-54,-24,-54,CHEES_-35_4800.csv,-35,4800,2.483219449,2.41452276,1.717417222
-26_-54,-26,-54,CHEES_-35_4800.csv,-35,4800,2.499233785,2.43101902,1.705369116
-28_-54,-28,-54,CHEES_-35_4800.csv,-35,4800,2.520471836,2.452809636,1.691555
-30_-54,-30,-54,CHEES_-35_4800.csv,-35,4800,2.550402029,2.483397095,1.67512335
-5_-56,-5,-56,CHEES_-35_4700.csv,-35,4700,2.42837897,2.359704208,1.716869056
-6_-56,-6,-56,CHEES_-35_4700.csv,-35,4700,2.430133131,2.361536404,1.714918178
-7_-56,-7,-56,CHEES_-35_4700.csv,-35,4700,2.431846165,2.363335212,1.712773824
-8_-56,-8,-56,CHEES_-35_4700.csv,-35,4700,2.433919116,2.365480041,1.71097688
-10_-56,-10,-56,CHEES_-35_4700.csv,-35,4700,2.438099545,2.369839156,1.706509736
-12_-56,-12,-56,CHEES_-35_4700.csv,-35,4700,2.442957605,2.37488795,1.701741395
-14_-56,-14,-56,CHEES_-35_4700.csv,-35,4700,2.448585291,2.380724938,1.696508826
-16_-56,-16,-56,CHEES_-35_4800.csv,-35,4800,2.454927262,2.385279672,1.741189768
-18_-56,-18,-56,CHEES_-35_4800.csv,-35,4800,2.462251922,2.392878067,1.734346372
-20_-56,-20,-56,CHEES_-35_4800.csv,-35,4800,2.470809953,2.401745917,1.726600891
-22_-56,-22,-56,CHEES_-35_4800.csv,-35,4800,2.481348647,2.412625214,1.718085827
-24_-56,-24,-56,CHEES_-35_4800.csv,-35,4800,2.494314072,2.425990132,1.708098505
-26_-56,-26,-56,CHEES_-35_4800.csv,-35,4800,2.510795377,2.442932496,1.696572022
-28_-56,-28,-56,CHEES_-35_4800.csv,-35,4800,2.532565523,2.465231693,1.683345756
-30_-56,-30,-56,CHEES_-35_4800.csv,-35,4800,2.562665865,2.495954396,1.667786717
-5_-58,-5,-58,CHEES_-35_4700.csv,-35,4700,2.436024103,2.367545083,1.711975514
-6_-58,-6,-58,CHEES_-35_4700.csv,-35,4700,2.437802094,2.369404118,1.7099494
-7_-58,-7,-58,CHEES_-35_4700.csv,-35,4700,2.439837406,2.371510031,1.708184379
-8_-58,-8,-58,CHEES_-35_4700.csv,-35,4700,2.441844782,2.373603969,1.706020335
-10_-58,-10,-58,CHEES_-35_4700.csv,-35,4700,2.446333223,2.378263077,1.701753661
-12_-58,-12,-58,CHEES_-35_4700.csv,-35,4700,2.451363349,2.383487295,1.696901367
-14_-58,-14,-58,CHEES_-35_4700.csv,-35,4700,2.457312809,2.389640767,1.691801051
-16_-58,-16,-58,CHEES_-35_4700.csv,-35,4700,2.463879274,2.396442255,1.685925484
-18_-58,-18,-58,CHEES_-35_4700.csv,-35,4700,2.471788075,2.404607251,1.679520596
-20_-58,-20,-58,CHEES_-35_4700.csv,-35,4700,2.481185036,2.414288092,1.672423618
-22_-58,-22,-58,CHEES_-35_4800.csv,-35,4800,2.492249996,2.42379481,1.711379648
-24_-58,-24,-58,CHEES_-35_4800.csv,-35,4800,2.505443424,2.437372066,1.701783947
-26_-58,-26,-58,CHEES_-35_4800.csv,-35,4800,2.522220637,2.454589523,1.690777853
-28_-58,-28,-58,CHEES_-35_4800.csv,-35,4800,2.544369788,2.477242277,1.678187781
-30_-58,-30,-58,CHEES_-35_4800.csv,-35,4800,2.574484815,2.507944596,1.663505479
-5_-60,-5,-60,CHEES_-35_4700.csv,-35,4700,2.44380755,2.375445983,1.70903917
-6_-60,-6,-60,CHEES_-35_4700.csv,-35,4700,2.445658354,2.377371116,1.707180953
-7_-60,-7,-60,CHEES_-35_4700.csv,-35,4700,2.447713718,2.379504743,1.705224381
-8_-60,-8,-60,CHEES_-35_4700.csv,-35,4700,2.449925375,2.381787654,1.703443032
-10_-60,-10,-60,CHEES_-35_4700.csv,-35,4700,2.454593464,2.386637995,1.69888671
-12_-60,-12,-60,CHEES_-35_4700.csv,-35,4700,2.46002961,2.392253939,1.694391775
-14_-60,-14,-60,CHEES_-35_4700.csv,-35,4700,2.466065792,2.398503626,1.689054137
-16_-60,-16,-60,CHEES_-35_4700.csv,-35,4700,2.472931722,2.405601851,1.683246773
-18_-60,-18,-60,CHEES_-35_4700.csv,-35,4700,2.481229339,2.414142346,1.677174843
-20_-60,-20,-60,CHEES_-35_4700.csv,-35,4700,2.490728193,2.423924185,1.670100199
-22_-60,-22,-60,CHEES_-35_4700.csv,-35,4700,2.502119488,2.435631159,1.662208226
-24_-60,-24,-60,CHEES_-35_4700.csv,-35,4700,2.516126259,2.449984278,1.653549523
-26_-60,-26,-60,CHEES_-35_4800.csv,-35,4800,2.533505039,2.466007532,1.687437691
-28_-60,-28,-60,CHEES_-35_4800.csv,-35,4800,2.555807949,2.488788298,1.675491279
-30_-60,-30,-60,CHEES_-35_4800.csv,-35,4800,2.585945132,2.519475229,1.661747579
