folder,param1,param2,csv_name,c_val,d_val,Total_NLL,NLL_CO2,NLL_SST
0.6_-20_-35,-20,-35,CHEES_-27_5300.csv,-27,5300,5.27132726208441,5.2068022790861,0.0645249829983156
0.6_-12_-48,-12,-48,CHEES_-28_5400.csv,-28,5400,5.27132835588948,5.20626280216749,0.0650655537219835
0.6_-14_-35,-14,-35,CHEES_-24_5400.csv,-24,5400,5.27133533071833,5.2069412795374,0.0643940511809323
0.6_-5_-44,-5,-44,CHEES_-24_5300.csv,-24,5300,5.27133534329676,5.2067221820719,0.0646131612248533
0.6_-6_-50,-6,-50,CHEES_-27_5400.csv,-27,5400,5.27133837661379,5.20692751512142,0.0644108614923713
0.6_-14_-44,-14,-44,CHEES_-28_5300.csv,-28,5300,5.27134431875431,5.20682050702856,0.0645238117257497
0.6_-5_-54,-5,-54,CHEES_-28_5300.csv,-28,5300,5.27138115467844,5.20689936360421,0.06448179107423
0.6_-18_-52,-18,-52,CHEES_-33_5300.csv,-33,5300,5.27138409765573,5.20614582656082,0.0652382710949101
0.6_-16_-44,-16,-44,CHEES_-29_5300.csv,-29,5300,5.2713967449223,5.20677394377445,0.0646228011478491
0.6_-18_-40,-18,-40,CHEES_-28_5300.csv,-28,5300,5.27141600469604,5.20647482061671,0.0649411840793336
0.6_-22_-50,-22,-50,CHEES_-35_5300.csv,-35,5300,5.27144947888904,5.20680928553382,0.0646401933552243
0.6_-10_-44,-10,-44,CHEES_-25_5300.csv,-25,5300,5.27145067322631,5.20614833362752,0.0653023395987888
0.6_-14_-60,-14,-60,CHEES_-35_5400.csv,-35,5400,5.27153433689902,5.20701866117475,0.0645156757242765
0.6_-5_-52,-5,-52,CHEES_-27_5300.csv,-27,5300,5.27155141481345,5.2070001225255,0.0645512922879494
0.6_-20_-50,-20,-50,CHEES_-34_5300.csv,-34,5300,5.27156339404171,5.20696743045024,0.0645959635914658
0.6_-10_-42,-10,-42,CHEES_-24_5300.csv,-24,5300,5.27156809712331,5.20614270452619,0.0654253925971182
0.6_-20_-40,-20,-40,CHEES_-29_5300.csv,-29,5300,5.27160461026239,5.2063844566992,0.0652201535631915
0.6_-12_-58,-12,-58,CHEES_-33_5300.csv,-33,5300,5.27161147183777,5.20665631797401,0.0649551538637573
0.6_-16_-54,-16,-54,CHEES_-34_5300.csv,-34,5300,5.27161243161552,5.20717090269615,0.0644415289193668
0.6_-16_-60,-16,-60,CHEES_-35_5400.csv,-35,5400,5.27163742934736,5.20619980328653,0.0654376260608274
0.6_-14_-40,-14,-40,CHEES_-26_5400.csv,-26,5400,5.27166428377287,5.20696908125713,0.0646952025157418
0.6_-14_-52,-14,-52,CHEES_-32_5300.csv,-32,5300,5.27166444035084,5.20721716102783,0.0644472793230103
0.6_-22_-38,-22,-38,CHEES_-29_5300.csv,-29,5300,5.27168301255492,5.2061429308702,0.065540081684729
0.6_-16_-36,-16,-36,CHEES_-25_5400.csv,-25,5400,5.27169544179794,5.20728892394286,0.0644065178550775
0.6_-18_-34,-18,-34,CHEES_-25_5300.csv,-25,5300,5.27170398280187,5.20614298662783,0.0655609961740376
0.6_-24_-40,-24,-40,CHEES_-31_5400.csv,-31,5400,5.27170946310685,5.20620430600774,0.0655051570991071
0.6_-14_-32,-14,-32,CHEES_-22_5400.csv,-22,5400,5.27171844066615,5.20734221565734,0.06437622500881
0.6_-12_-44,-12,-44,CHEES_-26_5300.csv,-26,5300,5.27171872557941,5.2061428178541,0.0655759077253154
0.6_-12_-40,-12,-40,CHEES_-25_5300.csv,-25,5300,5.27173156644873,5.20703238296961,0.0646991834791138
0.6_-12_-50,-12,-50,CHEES_-30_5300.csv,-30,5300,5.27176961991313,5.20731898032808,0.0644506395850485
0.6_-22_-44,-22,-44,CHEES_-32_5300.csv,-32,5300,5.27180312890615,5.20670630050609,0.0650968284000651
0.6_-16_-48,-16,-48,CHEES_-31_5300.csv,-31,5300,5.27181456437324,5.20723028113771,0.0645842832355277
0.6_-26_-42,-26,-42,CHEES_-33_5400.csv,-33,5400,5.27186380489954,5.20740591111924,0.064457893780301
0.6_-18_-38,-18,-38,CHEES_-27_5300.csv,-27,5300,5.27186745503919,5.20655118522973,0.0653162698094541
0.6_-12_-35,-12,-35,CHEES_-23_5300.csv,-23,5300,5.2718842028137,5.20748219711754,0.0644020056961626
0.6_-22_-37,-22,-37,CHEES_-29_5300.csv,-29,5300,5.27188791755125,5.20720731086326,0.0646806066879909
0.6_-16_-32,-16,-32,CHEES_-23_5400.csv,-23,5400,5.27190831990158,5.20744672087196,0.064461599029626
0.6_-12_-38,-12,-38,CHEES_-24_5300.csv,-24,5300,5.27193718225731,5.20705919866187,0.0648779835954345
0.6_-18_-35,-18,-35,CHEES_-26_5300.csv,-26,5300,5.27194428529666,5.20738751981038,0.0645567654862822
0.6_-14_-50,-14,-50,CHEES_-31_5300.csv,-31,5300,5.27196613688121,5.20744716267648,0.0645189742047292
0.6_-18_-48,-18,-48,CHEES_-31_5300.csv,-31,5300,5.27197057645141,5.20614624667708,0.0658243297743244
0.6_-14_-58,-14,-58,CHEES_-35_5400.csv,-35,5400,5.27199176685317,5.20761651945644,0.0643752473967316
0.6_-22_-52,-22,-52,CHEES_-35_5300.csv,-35,5300,5.27200473583685,5.20614463185574,0.0658601039811054
0.6_-12_-42,-12,-42,CHEES_-26_5300.csv,-26,5300,5.27204434113854,5.20733324848264,0.0647110926559009
0.6_-8_-44,-8,-44,CHEES_-24_5300.csv,-24,5300,5.272068725511,5.20640189160868,0.0656668339023228
0.6_-22_-36,-22,-36,CHEES_-28_5400.csv,-28,5400,5.27209287792737,5.20615000793835,0.0659428699890156
0.6_-5_-42,-5,-42,CHEES_-23_5300.csv,-23,5300,5.2720996708278,5.20771541051063,0.0643842603171728
0.6_-20_-46,-20,-46,CHEES_-32_5300.csv,-32,5300,5.27214403891794,5.20719793883322,0.0649461000847189
0.6_-8_-38,-8,-38,CHEES_-23_5300.csv,-23,5300,5.27216745929802,5.20707923205975,0.0650882272382703
0.6_-30_-37,-30,-37,CHEES_-33_5400.csv,-33,5400,5.27219000177068,5.20614277593918,0.0660472258315031
0.6_-28_-36,-28,-36,CHEES_-32_5300.csv,-32,5300,5.2721988465249,5.20707363502593,0.0651252114989687
0.6_-12_-36,-12,-36,CHEES_-24_5300.csv,-24,5300,5.27220021236183,5.20706762718609,0.0651325851757438
0.6_-10_-34,-10,-34,CHEES_-22_5300.csv,-22,5300,5.27220452535438,5.20704151206137,0.0651630132930048
0.6_-24_-34,-24,-34,CHEES_-29_5300.csv,-29,5300,5.27220650979313,5.20710905983515,0.0650974499579841
0.6_-8_-36,-8,-36,CHEES_-22_5300.csv,-22,5300,5.27220654567502,5.20704776412941,0.0651587815456107
0.6_-24_-32,-24,-32,CHEES_-28_5300.csv,-28,5300,5.27221234797535,5.20710858050238,0.0651037674729731
0.6_-20_-32,-20,-32,CHEES_-26_5300.csv,-26,5300,5.2722135896119,5.20708388150217,0.0651297081097263
0.6_-10_-36,-10,-36,CHEES_-23_5300.csv,-23,5300,5.2722180652162,5.20703149178231,0.0651865734338856
0.6_-28_-40,-28,-40,CHEES_-34_5300.csv,-34,5300,5.27222018896143,5.2070763848604,0.0651438041010331
