folder,param1,param2,csv_name,c_val,d_val,Total_NLL,NLL_CO2,NLL_SST
0.8_-14_-34,-14,-34,CHEES_-24_5400.csv,-24,5400,5.27097992073896,5.20626623912464,0.0647136816143138
0.8_-10_-37,-10,-37,CHEES_-23_5300.csv,-23,5300,5.27109363363108,5.2062739893918,0.0648196442392816
0.8_-8_-58,-8,-58,CHEES_-32_5300.csv,-32,5300,5.27109605102752,5.2062478664063,0.0648481846212202
0.8_-10_-58,-10,-58,CHEES_-33_5300.csv,-33,5300,5.27109956638163,5.20623292008292,0.0648666462987022
0.8_-8_-36,-8,-36,CHEES_-22_5400.csv,-22,5400,5.27110537398686,5.20634094427532,0.0647644297115364
0.8_-7_-60,-7,-60,CHEES_-34_5300.csv,-34,5300,5.2711139745698,5.20670403174067,0.064409942829139
0.8_-12_-60,-12,-60,CHEES_-35_5300.csv,-35,5300,5.27111871935558,5.20624124984653,0.0648774695090492
0.8_-10_-35,-10,-35,CHEES_-22_5300.csv,-22,5300,5.2711345860153,5.20625462347454,0.0648799625407691
0.8_-5_-56,-5,-56,CHEES_-31_5300.csv,-31,5300,5.27113829134832,5.2067242017356,0.0644140896127269
0.8_-22_-38,-22,-38,CHEES_-30_5400.csv,-30,5400,5.27115496429895,5.20635446475996,0.0648004995389917
0.8_-5_-52,-5,-52,CHEES_-29_5300.csv,-29,5300,5.27116046200832,5.20675012399014,0.0644103380181811
0.8_-18_-52,-18,-52,CHEES_-34_5400.csv,-34,5400,5.2711854614636,5.20672465709141,0.0644608043721915
0.8_-16_-35,-16,-35,CHEES_-25_5400.csv,-25,5400,5.27118722844304,5.20678406118685,0.064403167256187
0.8_-8_-54,-8,-54,CHEES_-30_5400.csv,-30,5400,5.27121333579382,5.20683744086388,0.0643758949299462
0.8_-6_-60,-6,-60,CHEES_-33_5400.csv,-33,5400,5.27122429474383,5.20684276174553,0.0643815329983003
0.8_-8_-48,-8,-48,CHEES_-27_5300.csv,-27,5300,5.27124490479867,5.20620380679426,0.0650410980044122
0.8_-14_-54,-14,-54,CHEES_-33_5300.csv,-33,5300,5.2712615213612,5.20620648898672,0.0650550323744851
0.8_-16_-37,-16,-37,CHEES_-26_5300.csv,-26,5300,5.2712709886346,5.20622382581537,0.0650471628192349
0.8_-7_-44,-7,-44,CHEES_-26_5300.csv,-26,5300,5.27127838207156,5.20682004326138,0.0644583388101816
0.8_-14_-35,-14,-35,CHEES_-24_5300.csv,-24,5300,5.27127945304243,5.20622029554018,0.0650591575022571
0.8_-10_-48,-10,-48,CHEES_-29_5300.csv,-29,5300,5.2712876605474,5.20684882692754,0.0644388336198596
0.8_-12_-38,-12,-38,CHEES_-25_5300.csv,-25,5300,5.2712937727272,5.2068459595566,0.0644478131705959
0.8_-12_-34,-12,-34,CHEES_-23_5300.csv,-23,5300,5.27129892556161,5.2068619040569,0.0644370215047065
0.8_-5_-40,-5,-40,CHEES_-23_5300.csv,-23,5300,5.27130226361805,5.20682128120794,0.0644809824101009
0.8_-10_-52,-10,-52,CHEES_-30_5300.csv,-30,5300,5.27131219644874,5.20622965539639,0.0650825410523482
0.8_-7_-40,-7,-40,CHEES_-24_5300.csv,-24,5300,5.27134759616368,5.20686584600337,0.064481750160306
0.8_-28_-34,-28,-34,CHEES_-31_5400.csv,-31,5400,5.27135261340852,5.20696455042299,0.0643880629855326
0.8_-14_-52,-14,-52,CHEES_-32_5300.csv,-32,5300,5.27137884369029,5.20620084583899,0.0651779978512941
0.8_-16_-46,-16,-46,CHEES_-30_5400.csv,-30,5400,5.27138309053099,5.2061487815592,0.0652343089717829
0.8_-10_-46,-10,-46,CHEES_-27_5300.csv,-27,5300,5.27143311287078,5.20619251452868,0.0652405983421055
0.8_-8_-60,-8,-60,CHEES_-33_5300.csv,-33,5300,5.2714366547107,5.20640095596649,0.0650356987442198
0.8_-8_-37,-8,-37,CHEES_-23_5300.csv,-23,5300,5.27143869339162,5.20689414795488,0.064544545436741
0.8_-12_-52,-12,-52,CHEES_-32_5300.csv,-32,5300,5.27145167878446,5.20697013442761,0.06448154435685
0.8_-18_-54,-18,-54,CHEES_-35_5300.csv,-35,5300,5.27147355138465,5.2061935873519,0.065279964032756
0.8_-26_-34,-26,-34,CHEES_-30_5300.csv,-30,5300,5.27147458697108,5.20699505012751,0.0644795368435726
0.8_-18_-35,-18,-35,CHEES_-26_5300.csv,-26,5300,5.27149242424103,5.20618224825746,0.0653101759835717
0.8_-16_-36,-16,-36,CHEES_-26_5300.csv,-26,5300,5.27149940718978,5.20701127516043,0.0644881320293549
0.8_-8_-35,-8,-35,CHEES_-22_5300.csv,-22,5300,5.2715012028892,5.20692548682226,0.0645757160669442
0.8_-12_-46,-12,-46,CHEES_-28_5300.csv,-28,5300,5.27150644069212,5.20618189547952,0.0653245452125962
0.8_-8_-40,-8,-40,CHEES_-24_5300.csv,-24,5300,5.2715364072175,5.20704745147487,0.0644889557426294
0.8_-14_-48,-14,-48,CHEES_-30_5300.csv,-30,5300,5.27154735694442,5.20618563745978,0.0653617194846394
0.8_-10_-36,-10,-36,CHEES_-23_5300.csv,-23,5300,5.27154981010946,5.20706266002188,0.0644871500875742
0.8_-8_-42,-8,-42,CHEES_-24_5300.csv,-24,5300,5.27161761280947,5.20618518246615,0.065432430343316
0.8_-6_-44,-6,-44,CHEES_-25_5300.csv,-25,5300,5.27161976613895,5.20711872536829,0.0645010407706586
0.8_-26_-42,-26,-42,CHEES_-34_5400.csv,-34,5400,5.27162886914223,5.20721600884316,0.0644128602990666
0.8_-8_-52,-8,-52,CHEES_-30_5300.csv,-30,5300,5.27163428378706,5.20711584083644,0.0645184429506184
0.8_-6_-52,-6,-52,CHEES_-29_5300.csv,-29,5300,5.27164765134775,5.20713224438166,0.0645154069660883
0.8_-12_-44,-12,-44,CHEES_-28_5300.csv,-28,5300,5.27164795844107,5.2071366500368,0.0645113084042665
0.8_-14_-37,-14,-37,CHEES_-26_5300.csv,-26,5300,5.2716518304386,5.20704774977907,0.0646040806595348
0.8_-18_-32,-18,-32,CHEES_-25_5300.csv,-25,5300,5.27165802815486,5.20713786016452,0.0645201679903412
0.8_-10_-56,-10,-56,CHEES_-34_5300.csv,-34,5300,5.27166457233356,5.20703485220923,0.0646297201243312
0.8_-10_-38,-10,-38,CHEES_-23_5400.csv,-23,5400,5.2716712674671,5.20616890688937,0.0655023605777283
0.8_-14_-42,-14,-42,CHEES_-28_5400.csv,-28,5400,5.27169626149974,5.20727764755978,0.0644186139399547
0.8_-7_-38,-7,-38,CHEES_-22_5300.csv,-22,5300,5.27169959199561,5.20666469391288,0.0650348980827315
0.8_-12_-56,-12,-56,CHEES_-35_5300.csv,-35,5300,5.27170200048279,5.20705090632663,0.0646510941561634
0.8_-10_-40,-10,-40,CHEES_-24_5300.csv,-24,5300,5.2717110092215,5.20615895856915,0.0655520506523491
0.8_-6_-42,-6,-42,CHEES_-24_5300.csv,-24,5300,5.27171318604993,5.20718039405327,0.0645327919966639
0.8_-6_-56,-6,-56,CHEES_-30_5300.csv,-30,5300,5.27173613982073,5.20650897715838,0.0652271626623486
0.8_-24_-32,-24,-32,CHEES_-28_5300.csv,-28,5300,5.27174348834201,5.2071943805387,0.0645491078033105
0.8_-8_-38,-8,-38,CHEES_-22_5300.csv,-22,5300,5.27174352370706,5.20616100113958,0.0655825225674768
0.8_-7_-52,-7,-52,CHEES_-30_5400.csv,-30,5400,5.27174839965851,5.20733952339695,0.0644088762615671
0.8_-12_-42,-12,-42,CHEES_-26_5300.csv,-26,5300,5.27174999918154,5.20616108046403,0.0655889187175145
0.8_-20_-50,-20,-50,CHEES_-34_5300.csv,-34,5300,5.27176546954382,5.20616311857957,0.0656023509642554
0.8_-12_-37,-12,-37,CHEES_-24_5400.csv,-24,5400,5.27176865356299,5.20674339332304,0.0650252602399494
0.8_-22_-37,-22,-37,CHEES_-29_5300.csv,-29,5300,5.27177328936318,5.20616596908532,0.0656073202778557
0.8_-18_-48,-18,-48,CHEES_-32_5300.csv,-32,5300,5.27179293720941,5.20616359196112,0.0656293452482897
0.8_-30_-32,-30,-32,CHEES_-31_5400.csv,-31,5400,5.27180477695719,5.20737443293191,0.0644303440252764
0.8_-7_-37,-7,-37,CHEES_-22_5400.csv,-22,5400,5.27180532497593,5.20736813185697,0.06443719311896
0.8_-10_-50,-10,-50,CHEES_-31_5300.csv,-31,5300,5.27183431176678,5.20713421416078,0.0647000976060072
0.8_-5_-42,-5,-42,CHEES_-24_5300.csv,-24,5300,5.27184669661333,5.20747027218983,0.0643764244235087
0.8_-16_-32,-16,-32,CHEES_-24_5300.csv,-24,5300,5.27185483539719,5.2072939053178,0.0645609300793967
0.8_-5_-48,-5,-48,CHEES_-25_5300.csv,-25,5300,5.27185995111714,5.20615267257919,0.0657072785379484
0.8_-20_-32,-20,-32,CHEES_-26_5300.csv,-26,5300,5.27186619892781,5.2072968326684,0.0645693662594181
0.8_-28_-38,-28,-38,CHEES_-33_5300.csv,-33,5300,5.27187264323503,5.20731513110942,0.0645575121256136
0.8_-22_-36,-22,-36,CHEES_-29_5300.csv,-29,5300,5.27187417912697,5.20730540125225,0.0645687778747163
0.8_-16_-44,-16,-44,CHEES_-29_5300.csv,-29,5300,5.27193533241137,5.20615529157689,0.0657800408344846
0.8_-14_-58,-14,-58,CHEES_-35_5300.csv,-35,5300,5.27196057113769,5.20653173166606,0.0654288394716295
0.8_-20_-37,-20,-37,CHEES_-28_5300.csv,-28,5300,5.27196880183984,5.20630436156113,0.0656644402787104
0.8_-14_-40,-14,-40,CHEES_-27_5300.csv,-27,5300,5.27200378054497,5.20742067045679,0.0645831100881808
0.8_-12_-32,-12,-32,CHEES_-22_5300.csv,-22,5300,5.27200581340823,5.20741444489466,0.0645913685135651
0.8_-20_-42,-20,-42,CHEES_-31_5300.csv,-31,5300,5.27200845439697,5.2074131332798,0.0645953211171653
0.8_-7_-48,-7,-48,CHEES_-28_5300.csv,-28,5300,5.27201939073447,5.20764125970246,0.0643781310320089
0.8_-20_-34,-20,-34,CHEES_-27_5300.csv,-27,5300,5.27203735657327,5.20743425091441,0.0646031056588566
0.8_-24_-44,-24,-44,CHEES_-34_5300.csv,-34,5300,5.27204795820925,5.20745144057887,0.0645965176303805
0.8_-24_-37,-24,-37,CHEES_-30_5300.csv,-30,5300,5.27207809729274,5.20614739440908,0.0659307028836622
