folder,param1,param2,csv_name,c,d,Best_Mu,P_at_BestMu,Delta_at_BestMu
0.8_-14_-37,-14,-37,CHEES_-35_5300.csv,-35,5300,1.07936980454978,3.56225933206358,3.44232935378027
0.8_-6_-37,-6,-37,CHEES_-35_5300.csv,-35,5300,1.07956639083272,3.47908208519587,3.35913026399224
0.8_-8_-37,-8,-37,CHEES_-35_5300.csv,-35,5300,1.07966167527535,3.43912147411288,3.31915906574895
0.8_-16_-38,-16,-38,CHEES_-35_5300.csv,-35,5300,1.08001090744546,3.42557123059572,3.30557001865734
0.8_-5_-37,-5,-37,CHEES_-35_5300.csv,-35,5300,1.08025944796754,3.4414372506668,3.32140842311485
0.8_-24_-40,-24,-40,CHEES_-35_5400.csv,-35,5400,1.0812723515898,3.25650153206959,3.13636015967072
0.8_-12_-38,-12,-38,CHEES_-35_5300.csv,-35,5300,1.08179486164684,3.41183066587658,3.29163123680471
0.8_-14_-38,-14,-38,CHEES_-35_5200.csv,-35,5200,1.08229660351593,3.49171873770884,3.3714635595404
0.8_-10_-38,-10,-38,CHEES_-35_5300.csv,-35,5300,1.08283009696352,3.43637312704395,3.31605867182578
0.8_-7_-38,-7,-38,CHEES_-35_5300.csv,-35,5300,1.08362998055839,3.39322383877454,3.27282050760139
0.8_-8_-38,-8,-38,CHEES_-35_5300.csv,-35,5300,1.08374953310475,3.39137164725706,3.27095503246765
0.8_-6_-38,-6,-38,CHEES_-35_5300.csv,-35,5300,1.08377949002998,3.39345244567346,3.27303250233679
0.8_-22_-40,-22,-40,CHEES_-35_5400.csv,-35,5400,1.08399779590726,3.21467603042133,3.09423183087608
0.8_-5_-38,-5,-38,CHEES_-35_5300.csv,-35,5300,1.08441137190028,3.45095559573443,3.33046544330107
0.8_-20_-40,-20,-40,CHEES_-35_5400.csv,-35,5400,1.08643531565797,3.20282402984741,3.0821089947743
0.8_-30_-42,-30,-42,CHEES_-35_5500.csv,-35,5500,1.08687654004801,3.05100295154206,2.93023889153672
0.8_-28_-42,-28,-42,CHEES_-35_5500.csv,-35,5500,1.08747000292111,3.07257195693268,2.95174195660811
0.8_-18_-40,-18,-40,CHEES_-35_5300.csv,-35,5300,1.08797433340921,3.30626748976342,3.18538145271795
0.8_-16_-40,-16,-40,CHEES_-35_5300.csv,-35,5300,1.08910991913399,3.2960247991605,3.17501258592339
0.8_-26_-42,-26,-42,CHEES_-35_5400.csv,-35,5400,1.08952890272745,3.11450981438949,2.99345104741977
0.8_-14_-40,-14,-40,CHEES_-35_5400.csv,-35,5400,1.09052352331545,3.23137257127612,3.11020329090774
0.8_-12_-40,-12,-40,CHEES_-35_5400.csv,-35,5400,1.09156816694912,3.25460058331277,3.13331523142954
0.8_-10_-40,-10,-40,CHEES_-35_5300.csv,-35,5300,1.09246672223649,3.30072588770596,3.17934069634635
0.8_-24_-42,-24,-42,CHEES_-35_5500.csv,-35,5500,1.09274284211866,3.05802443513419,2.93660856378767
0.8_-8_-40,-8,-40,CHEES_-35_5300.csv,-35,5300,1.09310549018897,3.30192408997947,3.18046792440292
0.8_-6_-40,-6,-40,CHEES_-35_5300.csv,-35,5300,1.09420540575233,3.3027791603268,3.18120078190987
0.8_-7_-40,-7,-40,CHEES_-35_5300.csv,-35,5300,1.09445679678187,3.32743809813491,3.20583178738137
