folder,param1,param2,best_mu_score,csv_name,c,d,corr_p
-26_-58,-26,-58,0.0104307290783867,CHEES_-34_4200.csv,-34,4200,0.0650435060867869
-26_-60,-26,-60,0.0105076240326106,CHEES_-35_4200.csv,-35,4200,0.0568613301461921
-24_-58,-24,-58,0.011250893851503,CHEES_-34_4200.csv,-34,4200,0.0621803837121951
-24_-60,-24,-60,0.0112523455627238,CHEES_-34_4200.csv,-34,4200,0.0611725580793795
-24_-56,-24,-56,0.0112873154628287,CHEES_-33_4200.csv,-33,4200,0.0715992622950888
-24_-54,-24,-54,0.011310695491423,CHEES_-33_4200.csv,-33,4200,0.0732743153634624
-24_-52,-24,-52,0.011327250749184,CHEES_-32_4200.csv,-32,4200,0.085331498373226
-24_-48,-24,-48,0.0113998068896722,CHEES_-31_4200.csv,-31,4200,0.103624471410952
-24_-50,-24,-50,0.0114322228474202,CHEES_-32_4200.csv,-32,4200,0.0880355063457296
-24_-44,-24,-44,0.011509522004665,CHEES_-30_4200.csv,-30,4200,0.127980592139666
-24_-46,-24,-46,0.011520472809408,CHEES_-30_4200.csv,-30,4200,0.122770071516851
-24_-42,-24,-42,0.0115842695689416,CHEES_-29_4200.csv,-29,4200,0.153020099662048
-12_-48,-12,-48,0.0116284266007538,CHEES_-31_4200.csv,-31,4200,0.132039858262471
-24_-40,-24,-40,0.0116919882865508,CHEES_-29_4200.csv,-29,4200,0.160637387046161
-24_-38,-24,-38,0.0116950728075565,CHEES_-28_4200.csv,-28,4200,0.193735747426847
-10_-48,-10,-48,0.0117891893639748,CHEES_-31_4200.csv,-31,4200,0.126865920766216
-24_-37,-24,-37,0.0117917487620061,CHEES_-28_4200.csv,-28,4200,0.199007867738704
-24_-35,-24,-35,0.0118239532543935,CHEES_-27_4200.csv,-27,4200,0.241437314853203
-24_-36,-24,-36,0.0118736015169265,CHEES_-27_4200.csv,-27,4200,0.23437809593108
-24_-32,-24,-32,0.0118826329458189,CHEES_-26_4200.csv,-26,4200,0.302352353116668
-24_-34,-24,-34,0.0119193750386506,CHEES_-27_4200.csv,-27,4200,0.248458090931788
-22_-60,-22,-60,0.0119713616724367,CHEES_-34_4200.csv,-34,4200,0.0589008821437278
-22_-58,-22,-58,0.0119873927394289,CHEES_-34_4200.csv,-34,4200,0.0598814516248589
-22_-56,-22,-56,0.0120719945860519,CHEES_-33_4200.csv,-33,4200,0.0690552802177653
-20_-38,-20,-38,0.01208255123061,CHEES_-33_4200.csv,-33,4200,0.12663122294845
-22_-54,-22,-54,0.0121447358847313,CHEES_-33_4200.csv,-33,4200,0.0706922475710204
-16_-46,-16,-46,0.0121682156855551,CHEES_-32_4200.csv,-32,4200,0.0968064096517472
-22_-52,-22,-52,0.0122231113556989,CHEES_-32_4200.csv,-32,4200,0.0825186647064815
-22_-50,-22,-50,0.0123714148322492,CHEES_-32_4200.csv,-32,4200,0.0851765398666212
-22_-48,-22,-48,0.0124217342711582,CHEES_-31_4200.csv,-31,4200,0.100395994267644
-20_-60,-20,-60,0.012601682373071,CHEES_-34_4200.csv,-34,4200,0.0570165156846985
-22_-46,-22,-46,0.0126273574081154,CHEES_-30_4200.csv,-30,4200,0.118828556184474
-20_-58,-20,-58,0.0126582161553215,CHEES_-34_4200.csv,-34,4200,0.0580299062732038
-22_-44,-22,-44,0.0127336524181181,CHEES_-30_4200.csv,-30,4200,0.124201724358569
-20_-56,-20,-56,0.0127794182823664,CHEES_-33_4200.csv,-33,4200,0.0669846290626157
-7_-54,-7,-54,0.0128163856381092,CHEES_-34_4200.csv,-34,4200,0.0615306359415702
-20_-54,-20,-54,0.0128897024633993,CHEES_-33_4200.csv,-33,4200,0.0687280599005114
-22_-42,-22,-42,0.0129222586644486,CHEES_-29_4200.csv,-29,4200,0.148365820951282
-20_-52,-20,-52,0.0130108958806967,CHEES_-32_4200.csv,-32,4200,0.0802428785785983
-22_-40,-22,-40,0.0131592441624345,CHEES_-29_4200.csv,-29,4200,0.156230110000548
-18_-60,-18,-60,0.0131838845725018,CHEES_-34_4200.csv,-34,4200,0.0553924505923903
-20_-50,-20,-50,0.0131985615470281,CHEES_-32_4200.csv,-32,4200,0.082862976747506
-18_-58,-18,-58,0.0132690044594146,CHEES_-34_4200.csv,-34,4200,0.056481351086818
-20_-48,-20,-48,0.0133161337171473,CHEES_-31_4200.csv,-31,4200,0.0978659082241914
-22_-38,-22,-38,0.0133569326711567,CHEES_-28_4200.csv,-28,4200,0.187738929154394
-18_-56,-18,-56,0.0134211651101354,CHEES_-33_4200.csv,-33,4200,0.06529344169926
-22_-37,-22,-37,0.0135425666353457,CHEES_-28_4200.csv,-28,4200,0.193454868325184
-18_-54,-18,-54,0.0135606013628545,CHEES_-33_4200.csv,-33,4200,0.0670027365059287
-20_-46,-20,-46,0.0135867668474915,CHEES_-30_4200.csv,-30,4200,0.115923760004227
-16_-60,-16,-60,0.0137218801258401,CHEES_-34_4200.csv,-34,4200,0.0540633332629878
-18_-52,-18,-52,0.0137238217340513,CHEES_-32_4200.csv,-32,4200,0.0783860578272565
-20_-44,-20,-44,0.0137420946329323,CHEES_-30_4200.csv,-30,4200,0.121406318584355
-22_-36,-22,-36,0.0137851539814527,CHEES_-27_4200.csv,-27,4200,0.226803764667253
-16_-58,-16,-58,0.0138501837820607,CHEES_-34_4200.csv,-34,4200,0.0552278797388323
-22_-35,-22,-35,0.0138747673839138,CHEES_-27_4200.csv,-27,4200,0.233991867374179
-18_-50,-18,-50,0.0139500745864599,CHEES_-32_4200.csv,-32,4200,0.0811968331194316
-16_-56,-16,-56,0.0140034735879367,CHEES_-33_4200.csv,-33,4200,0.0638866478481289
-10_-52,-10,-52,0.014006183831482,CHEES_-32_4200.csv,-32,4200,0.0787811303933356
-20_-42,-20,-42,0.0140306348032613,CHEES_-29_4200.csv,-29,4200,0.145029349741752
-22_-34,-22,-34,0.0141156963372671,CHEES_-27_4200.csv,-27,4200,0.240813678452495
-18_-48,-18,-48,0.0141238568729038,CHEES_-31_4200.csv,-31,4200,0.0958562780901622
-16_-54,-16,-54,0.0141787985310302,CHEES_-33_4200.csv,-33,4200,0.0656474268646104
-14_-60,-14,-60,0.0142348687990801,CHEES_-34_4200.csv,-34,4200,0.0529755370341315
-14_-58,-14,-58,0.0143405199347986,CHEES_-34_4200.csv,-34,4200,0.0540878251311393
-20_-40,-20,-40,0.0143491237316958,CHEES_-29_4200.csv,-29,4200,0.152872891490738
-16_-52,-16,-52,0.0143935618312248,CHEES_-32_4200.csv,-32,4200,0.0768855413134775
-18_-46,-18,-46,0.0144256433585402,CHEES_-30_4200.csv,-30,4200,0.113621946838467
-14_-56,-14,-56,0.0145333135987398,CHEES_-33_4200.csv,-33,4200,0.0625968645410306
-16_-50,-16,-50,0.0145891728119496,CHEES_-32_4200.csv,-32,4200,0.0796847731875961
-22_-32,-22,-32,0.0145942591524582,CHEES_-26_4200.csv,-26,4200,0.291637526461164
-18_-44,-18,-44,0.0146090190794025,CHEES_-30_4200.csv,-30,4200,0.119122713781186
-5_-60,-5,-60,0.0146768220362415,CHEES_-35_4300.csv,-35,4300,0.0460603346005454
-12_-60,-12,-60,0.0146772230389017,CHEES_-34_4200.csv,-34,4200,0.0519147886568272
-14_-54,-14,-54,0.0147099188491336,CHEES_-33_4200.csv,-33,4200,0.0645043945529769
-16_-48,-16,-48,0.0147848602729541,CHEES_-31_4200.csv,-31,4200,0.0942593955010811
-12_-58,-12,-58,0.0148000155286469,CHEES_-34_4200.csv,-34,4200,0.0530967682546097
-20_-37,-20,-37,0.014903228968533,CHEES_-28_4200.csv,-28,4200,0.189787825912539
-14_-52,-14,-52,0.0149173871575261,CHEES_-32_4200.csv,-32,4200,0.0755686178282653
-18_-42,-18,-42,0.0149645677584416,CHEES_-29_4200.csv,-29,4200,0.142392125757305
-12_-56,-12,-56,0.0150272488247808,CHEES_-33_4200.csv,-33,4200,0.0615930354632162
-10_-60,-10,-60,0.0150945426082446,CHEES_-34_4200.csv,-34,4200,0.0510410608564743
-14_-50,-14,-50,0.015172202876422,CHEES_-32_4200.csv,-32,4200,0.0784321868429241
-10_-56,-10,-56,0.0151792210458003,CHEES_-32_4300.csv,-32,4300,0.0717375512603751
-12_-54,-12,-54,0.0152023741361191,CHEES_-33_4200.csv,-33,4200,0.063481416797609
-10_-58,-10,-58,0.0152417786957901,CHEES_-34_4200.csv,-34,4200,0.0522147296496773
-20_-36,-20,-36,0.0152753206553198,CHEES_-28_4200.csv,-28,4200,0.195518401977828
-18_-40,-18,-40,0.0153166434272693,CHEES_-29_4200.csv,-29,4200,0.150578027947917
-16_-44,-16,-44,0.0153566934885378,CHEES_-30_4200.csv,-30,4200,0.117479182801266
-14_-48,-14,-48,0.0153965571095419,CHEES_-31_4200.csv,-31,4200,0.0929244619957068
-12_-52,-12,-52,0.0154288671553399,CHEES_-32_4200.csv,-32,4200,0.0744738402620882
-20_-35,-20,-35,0.0154420121327831,CHEES_-27_4200.csv,-27,4200,0.229240976260374
-8_-60,-8,-60,0.0154828352766163,CHEES_-34_4200.csv,-34,4200,0.0502715430372134
