folder,param1,param2,best_delta_score,csv_name,c,d,corr_p
-6_-44,-6,-44,0.0351052359067471,CHEES_-35_4900.csv,-35,4900,0.0372635282480666
-7_-46,-7,-46,0.0351065782264701,CHEES_-35_4900.csv,-35,4900,0.0371059433019582
-8_-50,-8,-50,0.0351740237712284,CHEES_-35_4900.csv,-35,4900,0.0369157038163853
-8_-48,-8,-48,0.0352125202265618,CHEES_-35_4900.csv,-35,4900,0.0370710529855649
-7_-44,-7,-44,0.0352160765550027,CHEES_-35_4900.csv,-35,4900,0.0373689798890061
-8_-46,-8,-46,0.0352588357680741,CHEES_-35_4900.csv,-35,4900,0.0372517653731566
-5_-42,-5,-42,0.0353057279051666,CHEES_-35_4900.csv,-35,4900,0.0376514258865323
-10_-58,-10,-58,0.0353754139941418,CHEES_-35_4800.csv,-35,4800,0.0365888887649926
-8_-44,-8,-44,0.0353771694891319,CHEES_-35_4900.csv,-35,4900,0.0375248665244884
-10_-56,-10,-56,0.0354037999158509,CHEES_-35_4800.csv,-35,4800,0.036674036329648
-6_-42,-6,-42,0.0354061456135123,CHEES_-35_4900.csv,-35,4900,0.0377480309413262
-10_-60,-10,-60,0.0354068425992418,CHEES_-35_4800.csv,-35,4800,0.0365718809625552
-10_-54,-10,-54,0.035485491975874,CHEES_-35_4800.csv,-35,4800,0.0368255972064288
-7_-42,-7,-42,0.0355042837141075,CHEES_-35_4900.csv,-35,4900,0.0378408532624538
-10_-52,-10,-52,0.035542857196811,CHEES_-35_4800.csv,-35,4800,0.0369607081906709
-5_-40,-5,-40,0.0355731773167361,CHEES_-35_5000.csv,-35,5000,0.0384297670639643
-10_-48,-10,-48,0.0355873592995743,CHEES_-35_4900.csv,-35,4900,0.0374306486722539
-10_-50,-10,-50,0.0356061869115663,CHEES_-35_4900.csv,-35,4900,0.037332534374191
-10_-46,-10,-46,0.0356069594347105,CHEES_-35_4900.csv,-35,4900,0.0375857031722981
-8_-42,-8,-42,0.0356133435743992,CHEES_-35_4900.csv,-35,4900,0.0379452961733086
-6_-40,-6,-40,0.035635125282285,CHEES_-35_5000.csv,-35,5000,0.0384879400742652
-10_-44,-10,-44,0.0356656004234372,CHEES_-35_4900.csv,-35,4900,0.0378007816883105
-7_-40,-7,-40,0.0357047032402139,CHEES_-35_5000.csv,-35,5000,0.0385528768433491
-8_-40,-8,-40,0.0358047072917644,CHEES_-35_5000.csv,-35,5000,0.0386494381940979
-10_-42,-10,-42,0.0358573888886781,CHEES_-35_4900.csv,-35,4900,0.0381788277595576
-5_-38,-5,-38,0.0358958508012419,CHEES_-35_5000.csv,-35,5000,0.0390173713839892
-6_-38,-6,-38,0.0359276009816094,CHEES_-35_5000.csv,-35,5000,0.0390454756013619
